title,content,url,cnt,date,source
크롬 개발자 도구를 이용한 자바스크립트 디버깅,자바스크립트 디버깅 어떻게 하시나요? 과거의 저를 포함하여 많은 웹 프론트엔드 개발자들이 소스 사이사이에 alert() 또는 console.log()를 사용하여 상태를 출력하고 변수를 모니터링 합니다. 이러한 노가다식 디버깅 방식이 널리 퍼진 이유는 자바스크립트의 역사와 관련이 있는데 IEInternet Explorer가 인기 있던 시절 IE는 제대로 된 ,https://subicura.com/2018/02/14/javascript-debugging.html,0,2018-02-14,subicura
본격 macOS에 개발 환경 구축하기,개발 관련 스터디 모임이나 컨퍼런스에서 발표를 듣다 보면 발표 주제와 별도로 예제 화면이나 라이브 코딩에서 사용하는 개발 도구에 관심이 가는 경우가 있습니다.같은 macOS를 사용하는데 터미널이 왜 다르게 생긴 거지? vi 에디터에 원래 저런 기능이 있었어? 뭐가 저렇게 막 글자가 자동완성되는 거지? 저건 무슨 테마지?개인적인 경험으로도 어디서 발표를 할 ,https://subicura.com/2017/11/22/mac-os-development-environment-setup.html,0,2017-11-22,subicura
Docker Swarm을 이용한 쉽고 빠른 분산 서버 관리,"제가 일하고 있는 퍼플웍스에서는 여러 대의 서버에 다양한 애플리케이션을 설치하여 사용하고 있습니다. 아직도 미완성인 홈페이지 를 비롯하여 LDAP, Gitlab, Jenkins, Docker Registry, Sensu, Grafana, DB와 같은 업무용 프로그램이 여기저기 설치되어 있고 개발 중인 서비스들의 테스트/스테이징 서버도 여러 대 있습니다.많은",https://subicura.com/2017/02/25/container-orchestration-with-docker-swarm.html,0,2017-02-25,subicura
초보를 위한 도커 안내서 - 이미지 만들고 배포하기,"이 글은 초보를 위한 도커 안내서 - 설치부터 배포까지 시리즈의 마지막 글입니다. 지난 글에서 도커를 설치하고 컨테이너를 실행해 보았으니 이번엔 이미지를 만들고 서버에 배포해보도록 하겠습니다.도커는 이미지를 만들기 위해 컨테이너의 상태를 그대로 이미지로 저장하는 단순하고 무식(?)한 방법을 사용합니다.예를 들어, 어떤 애플리케이션을 이미지로 만든다면 리눅스",https://subicura.com/2017/02/10/docker-guide-for-beginners-create-image-and-deploy.html,0,2017-02-10,subicura
초보를 위한 도커 안내서 - 설치하고 컨테이너 실행하기,이 글은 초보를 위한 도커 안내서 - 설치부터 배포까지 2번째 글입니다. 이번엔 도커 설치부터 컨테이너를 실행하고 컨테이너를 둘러보는 방법에 대해 설명합니다. 도커에 대해 1도 모르는 분들을 위해 아주 가볍게 자주 쓰는 명령어만 다루었기 때문에 모든 명령어가 궁금하신 분은 여기를 참고해주세요.도커는 리눅스 컨테이너 기술이므로 macOS나 windows에 설,https://subicura.com/2017/01/19/docker-guide-for-beginners-2.html,0,2017-01-19,subicura
초보를 위한 도커 안내서 - 도커란 무엇인가?,어느날 친구한테 메시지를 받았습니다.도커 공부 좀 하려는데 hello world 문서 어떤 거 보면서 시작하는 게 좋음?구글에서 docker 검색ㄱㄱ라고 말하려다 인터넷에 있는 도커 관련 글과 동영상 중에 입문자용 링크를 몇 개 전달해 주었습니다. 이후에도 몇 번 비슷한 요청을 받으면서 도커에 대해 가볍게 정리해보자라는 생각이 들었고 예전 글(도커를 이용한,https://subicura.com/2017/01/19/docker-guide-for-beginners-1.html,0,2017-01-19,subicura
2016년 블로그 회고,어느덧 2016년 마지막 날입니다. 올 한해 역시 정신없이 지나갔고 작년에 태어난 딸도 돌을 지나고 어느새 python 개발 서적을 읽을 정도의 나이가 되었습니다(위 사진 참조). 회사는 6주년을 맞이했고 올해 처음으로 일반 고객을 대상으로한 서비스를 오픈했습니다. 서비스를 운영하면서 느낀 점도 많지만 일단은 블로그에 대해 한해를 마무리하는 회고를 하려고 ,https://subicura.com/2016/12/31/remember-2016.html,0,2016-12-31,subicura
linter를 이용한 코딩스타일과 에러 체크하기,"홈쇼핑처럼 6번째 상품인 까르보돈까스는 부먹과 찍먹을 선택해야 합니다. 코딩도 둘중에 하나를 선택해야 하는 경우가 많은데 협업을 위해 코딩 스타일을 설정하고 규칙에 어긋난 코드를 한땀한땀 수정했던 순간이 떠올라 linter에 대해 이야기합니다.

코딩스타일, 코딩 표준이라고도 불리는 코딩 컨벤션은 코드를 작성할 때 추천하는 코딩 스타일, 괜찮은 사례등을 모",https://subicura.com/2016/07/11/coding-convention.html,0,2016-07-11,subicura
왜 React와 서버 사이드 렌더링인가?,홈쇼핑처럼 4번째 상품인 튀김을 기름에 튀기면서 React를 적용하느라 고생했던 순간이 떠올라 React와 서버 사이드 렌더링 적용과정을 정리해봅니다. 여기서는 어떻게보다는 왜에 대해 설명합니다.현재 홈쇼핑처럼의 커머스 백엔드는 PHP로 만든 Magento를 사용하고 있고 프론트엔드는 일부 화면에서 React를 사용하고 있습니다. 웹서버에 v8js exte,https://subicura.com/2016/06/20/server-side-rendering-with-react.html,0,2016-06-20,subicura
Go언어로 오픈소스 배송조회 서비스 만들기,홈쇼핑처럼에서 세번째로 런칭한 돈까스를 구매해 주시는 분들을 보면서 아.. 받은 만큼 나도 뭔가 베풀어야겠구나 라는 생각에 배송조회 서비스를 오픈소스로 공개하는 과정을 정리해봅니다.github이라는 소셜코딩 플랫폼이 등장하면서 오픈소스에 참여할 수 있는 장벽이 많이 낮아졌습니다. 사용하던 오픈소스에서 버그를 발견하면 이슈를 살펴보고 수정한 소스를 슬쩍 풀 ,https://subicura.com/2016/06/13/start-go-shipment-tracking-opensource.html,0,2016-06-13,subicura
도커를 이용한 웹서비스 무중단 배포하기,홈쇼핑처럼x밀본고기덮밥이 팔리는걸 관리자화면에서 보면서 하루에도 여러번 소스를 업데이트 하고 운영서버로 배포했던 내용이 떠올라 후기로 정리합니다.배포는 단순히 로컬의 소스를 운영 서버로 복사하는 것입니다. FTP로 파일을 복사하는 방식은 가장 기본이면서 그럭저럭 잘 동작합니다. 배포 중에 서비스가 잠깐 멈추는 문제가 있다면 새벽에 배포하면 되고 굳이 다른 ,https://subicura.com/2016/06/07/zero-downtime-docker-deployment.html,0,2016-06-07,subicura
홈쇼핑처럼 개발후기,홈쇼핑처럼x불맛쌀떡볶이를 배송받으면서 그동안 “홈쇼핑처럼“을 개발했던 내용이 떠올라 후기로 정리합니다.그동안 주로 SI관련일을 하다가 이번에 처음으로 일반 고객을 대상으로 서비스를 만들게 되었습니다. 처음부터 끝까지 만들어야 하다보니 정말 일이 많고 힘드네요. 모든 대한민국의 스타트업에게 존경을…밑에 내용은 서비스를 만들면서 기술적으로 고민했던 것과 어떤 ,https://subicura.com/2016/05/30/likehs-develop-log.html,0,2016-05-30,subicura
hello,blog 시작하기 좋은날입니다. ghost설치했다가 실수로 서버를 지우는 바람에 이전 블로그가 사라졌습니다. 글이 별로 많지는 않았지만.. 아쉽네요 ㅠ역시 설치형보다는 서비스형이 나은것 같습니다. jekyll 명령어가 너무 어려웠는데 tinypress.co라는 웹 에디터를 발견했습니다. 단순한게 맘에 드네요.간단한 개발팀은 til에 올리고 있습니다. 블로그,https://subicura.com/2016/03/23/hello.html,0,2016-03-23,subicura
